week_start,cell_id,category,channel,spend,context_index,measured_incremental_contribution
2024-01-01,Beauty | Affiliate,Beauty,Affiliate,113011.54881233153,1.0,96679.4654706516
2024-01-01,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,65758.09536907508,1.0434965534111231,128899.84527291908
2024-01-01,Beauty | Paid Search,Beauty,Paid Search,97959.85369174843,1.0783326909627484,113480.75071768722
2024-01-01,Electronics | Affiliate,Electronics,Affiliate,24435.624346551085,1.0975723357826659,87616.3383498668
2024-01-01,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,87171.81644182031,1.0973847630878195,106466.59146307189
2024-01-01,Electronics | Paid Search,Electronics,Paid Search,112115.67247474207,1.077807319688792,186135.19681527297
2024-01-01,Grocery | Affiliate,Grocery,Affiliate,106448.16903169031,1.042737988023383,137076.7926127898
2024-01-01,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,63787.11455042603,0.9991592752632852,148975.923378136
2024-01-01,Grocery | Paid Search,Grocery,Paid Search,51941.1835378346,0.9557479556705147,86973.92068998863
2024-01-01,Home | Affiliate,Home,Affiliate,26534.973771560126,0.9211474745573804,87803.36937778526
2024-01-01,Home | Lifecycle CRM,Home,Lifecycle CRM,167544.72166139435,0.9022469882334903,124994.48980211276
2024-01-01,Home | Paid Search,Home,Paid Search,55107.6694019243,0.902809693059818,160692.39607739914
2024-01-08,Beauty | Affiliate,Beauty,Affiliate,123586.39567298432,1.0239315664287558,115703.69294978598
2024-01-08,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,83096.43118208183,1.0637817322662988,170206.78742650655
2024-01-08,Beauty | Paid Search,Beauty,Paid Search,60594.09983465307,1.0909325855756904,85850.51018988629
2024-01-08,Electronics | Affiliate,Electronics,Affiliate,25610.74749768616,1.0999782341158355,95858.23498369941
2024-01-08,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,146105.225786135,1.089117636840193,128837.39971021612
2024-01-08,Electronics | Paid Search,Electronics,Paid Search,80174.27116594,1.0605132016067043,134695.16654300908
2024-01-08,Grocery | Affiliate,Grocery,Affiliate,59842.791355935195,1.0198602372414876,87080.31363866066
2024-01-08,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,68977.72631341284,0.9752529845455641,186811.1612121196
2024-01-08,Grocery | Paid Search,Grocery,Paid Search,97799.5574657528,0.9355730060428649,129606.87612028138
2024-01-08,Home | Affiliate,Home,Affiliate,38808.63621347336,0.9087208154104446,107962.19570889899
2024-01-08,Home | Lifecycle CRM,Home,Lifecycle CRM,140295.46034555466,0.9000428394195744,116144.76317521425
2024-01-08,Home | Paid Search,Home,Paid Search,67612.88176013288,0.9112669133814646,181901.17787659905
2024-01-15,Beauty | Affiliate,Beauty,Affiliate,45010.41755720396,1.0464723172043768,68278.94391497357
2024-01-15,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,79545.75291474664,1.080360148679321,157688.36596696437
2024-01-15,Beauty | Paid Search,Beauty,Paid Search,42020.47865816156,1.098247808841473,83528.75859215054
2024-01-15,Electronics | Affiliate,Electronics,Affiliate,68660.20350537566,1.0965737608882873,156255.396289214
2024-01-15,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,123238.63720127224,1.0756713174688441,129446.87827624893
2024-01-15,Electronics | Paid Search,Electronics,Paid Search,119617.93532551572,1.0397022762037729,155106.80815414386
2024-01-15,Grocery | Affiliate,Grocery,Affiliate,100373.16955706794,0.9958282816601418,122627.9121549979
2024-01-15,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,64528.307039415115,0.9527849004143135,170718.0209539629
2024-01-15,Grocery | Paid Search,Grocery,Paid Search,108781.22282039255,0.9191423191214092,132150.24225316843
2024-01-15,Home | Affiliate,Home,Affiliate,46976.821764693465,0.9015989706855174,126021.27821615602
2024-01-15,Home | Lifecycle CRM,Home,Lifecycle CRM,158685.78581397163,0.9036478374490975,115110.04432140375
2024-01-15,Home | Paid Search,Home,Paid Search,121363.63574007699,0.9248809781657339,188200.36660670818
